List Size,Popzero,Popend
1000000,0.000024,0.162268
2000000,0.000024,0.333627
3000000,0.000037,0.693666
4000000,0.000024,1.048559
5000000,0.000023,1.325113
6000000,0.000023,1.58162
7000000,0.000024,1.855145
8000000,0.000024,2.113911
9000000,0.000023,2.376669
10000000,0.000023,2.639487
11000000,0.000024,2.897781
12000000,0.000025,3.199498
13000000,0.000024,3.482389
14000000,0.000024,3.944531
15000000,0.000024,3.975934
16000000,0.000025,4.225311
17000000,0.000023,4.494579
18000000,0.000025,4.744671
19000000,0.000024,4.992319
20000000,0.000024,5.245187